ID,Phase,Workstream,Task,Priority,Owner,Planned Start,Target End,Status,% Complete,Dependency,Acceptance Criteria,Next Action,Notes,,
B3,Refine,Profile,Build vehicle settings form for drivers,Medium,Flutter owner,,,Not Started,0,B2,Vehicle API updates and role restrictions are clear,Implement vehicle UI,,,
B4,Refine,Session,Handle expired token 401 errors logout and login return path,Critical,Flutter owner,,,Not Started,0,A3,Expired user is safely returned to login without stale data,Add auth interceptor/handling,,,
B5,Refine,Reviews,Build post-ride review and user review history screens,Medium,Flutter owner,,,Not Started,0,A11,Eligible users can submit one 1-5 star review per ride,Implement review UI,,,
B6,Refine,Alerts,Define MVP alert model and build in-app activity/booking update screen,Medium,Product + Flutter,,,Not Started,0,A12,User can see meaningful booking/group updates,Choose local vs push MVP,,,
B7,Refine,Auto Groups,Run schema deployment and endpoint smoke tests for Auto Groups,High,Backend owner,,,Not Started,0,A1,Create join confirm leave and permissions verified,Exercise endpoints with test users,,,
B8,Refine,Auto Groups,Test matching window group readiness leave/rejoin behavior with 4 users,High,QA owner,,,Not Started,0,B7,Expected group state across normal and edge cases documented,Create test scenarios,,,
B9,Refine,Auto Groups,Add empty error refresh and confirmation states to Auto Groups,Medium,Flutter owner,,,Not Started,0,B7,Screen communicates that fare/payment are not handled,Polish states,,,
B10,Refine,Safety,Define community rules reporting flow blocked-user policy and emergency guidance,Critical,Product owner,,,Not Started,0,A1,Safety policy and in-app reporting path approved,Draft policy and escalation owner,,,
B11,Refine,Safety,Add input validation and consistent error responses for every endpoint,Critical,Backend owner,,,Not Started,0,A1,Malformed requests return safe actionable 4xx errors,Audit controllers,,,
B12,Refine,Safety,Restrict CORS configure Helmet and add rate limits to auth endpoints,Critical,Backend owner,,,Not Started,0,A2,Production origin allow-list and abuse protection verified,Add middleware/config,,,
B13,Refine,Privacy,Minimize exposed phone/contact data and document retention/deletion policy,High,Product + Backend,,,Not Started,0,B10,Only necessary personal data is shown to authorized users,Review response DTOs,,,
B14,Refine,Security,Audit role and ownership checks for rides bookings reviews profiles groups,Critical,Backend owner,,,Not Started,0,B11,Cross-user access attempts are denied in integration tests,Write authorization test matrix,,,
B15,Refine,Testing,Add test database config seed helpers and API integration test runner,Critical,Backend owner,,,Not Started,0,A1,Tests run isolated from production database,Set up test environment,,,
B16,Refine,Testing,Cover auth rides bookings reviews auto-groups and authorization failures,Critical,Backend owner,,,Not Started,0,B15,Core endpoints have happy-path and failure coverage,Implement suites,,,
B17,Refine,Testing,Test Flutter services/models including HTTP failures token behavior and JSON parsing,High,Flutter owner,,,Not Started,0,A6,Core client logic is deterministic and covered,Add unit tests,,,
B18,Refine,Testing,Add widget tests for auth forms empty/loading/error states navigation,High,Flutter owner,,,Not Started,0,B1,Critical screens render and validate inputs predictably,Add widget tests,,,
B19,Refine,Testing,Create device/browser test matrix and execute regression checklist,High,QA owner,,,Not Started,0,"B16,B18",Supported platforms and major flows pass regression,Draft checklist,,,
B20,Refine,Testing,Run controlled student beta; log feedback incidents and funnel metrics,High,Product owner,,,Not Started,0,"B19,B10",Beta exit criteria met without unresolved critical defects,Recruit pilot users,,,
B21,Refine,Release,Deploy API and database migration to staging then production,Critical,Backend owner,,,Not Started,0,"B16,B12",Health checks environment variables rollback steps verified,Create deployment runbook,,,
B22,Refine,Release,Add error logging uptime checks and basic metrics dashboard,High,Backend owner,,,Not Started,0,B21,Team alerted to API failure and can investigate errors,Choose monitoring stack,,,
B23,Refine,Release,Configure Android signing package identifiers icons privacy policy links,High,Flutter owner,,,Not Started,0,"B19,B13",Release build installs and meets store/college distribution requirements,Prepare release config,,,
B24,Refine,Documentation,Update README: setup environment commands architecture test instructions,Medium,Tech lead,,,Not Started,0,B21,New contributor can run app/backend from clean checkout,Write docs,,,
B25,Refine,Release,Run launch checklist verify analytics publish support contact monitor first week,Critical,Project manager,,,Not Started,0,"B21,B22,B23",Launch owner signs off; critical incident route is staffed,Schedule go/no-go review,,,
